"message","label_model","correct_label","measure"
"How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.","0","0","TN"
"I told that am coming on wednesday.","0","0","TN"
"Its ok, called mom instead have fun","0","0","TN"
"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.","1","1","TP"
"Well if I'm that desperate I'll just call armand again","1","0","FP"
"Are you at work right now ?","0","0","TN"
"Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX","1","1","TP"
"Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic","0","0","TN"
"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!","0","0","TN"
"Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back","0","0","TN"
"Sorry, I'll call later","0","0","TN"
"Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.","0","0","TN"
"And pls pls drink plenty plenty water","0","0","TN"
"How are you doing. How's the queen. Are you going for the royal wedding","0","0","TN"
"He's in lag. That's just the sad part but we keep in touch thanks to skype","0","0","TN"
"Ok lor then we go tog lor...","0","0","TN"
"Two teams waiting for some players","0","0","TN"
"Can Ì_ send me a copy of da report?","0","0","TN"
"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.","0","0","TN"
"Ok da, i already planned. I wil pick you.","0","0","TN"
"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+","1","1","TP"
"Sorry, I'll call later in meeting","0","0","TN"
"I just really need shit before tomorrow and I know you won't be awake before like 6","0","0","TN"
"I'm good. Have you registered to vote?","0","0","TN"
"Hmm ok, i'll stay for like an hour cos my eye is really sore!","0","0","TN"
"Dear got bus directly to calicut","0","0","TN"
"Mm umma ask vava also to come tell him can play later together","0","0","TN"
"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want","0","0","TN"
"Sorry, I'll call later","0","0","TN"
"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning","0","0","TN"
"&lt;#&gt;  w jetton ave if you forgot","0","0","TN"
"Ok i'm coming home now.","0","0","TN"
"Can not use foreign stamps in this country.","0","0","TN"
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX","1","1","TP"
"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy","0","0","TN"
"FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+","1","1","TP"
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply","1","1","TP"
"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP","1","1","TP"
"I will come tomorrow di","0","0","TN"
"Wylie update: my weed dealer carlos went to freedom and had a class with lunsford","0","0","TN"
"Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*","0","0","TN"
"C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.","0","0","TN"
"How are you enjoying this semester? Take care brother.","0","0","TN"
"IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!","1","1","TP"
"Get the door, I'm here","0","0","TN"
"Lets use it next week, princess :)","0","0","TN"
"Or i go home first lar Ì_ wait 4 me lor.. I put down my stuff first..","0","0","TN"
"I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!","1","0","FP"
"No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:)","0","0","TN"
"Oi when you gonna ring","0","0","TN"
"Missed call alert. These numbers called but left no message. 07008009200","1","1","TP"
"I attended but nothing is there.","0","0","TN"
"Ard 530 like dat lor. We juz meet in mrt station then Ì_ dun haf to come out.","0","0","TN"
"No dear i was sleeping :-P","0","0","TN"
"Er mw im filled tuth is aight","0","0","TN"
"Will be office around 4 pm. Now i am going hospital.","0","0","TN"
"Actually i'm waiting for 2 weeks when they start putting ad.","0","0","TN"
"Anything lor if they all go then i go lor...","0","0","TN"
"U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?","0","0","TN"
"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.","1","0","FP"
"Yo you around? A friend of mine's lookin to pick up later tonight","0","0","TN"
"Stupid auto correct on my phone","0","0","TN"
"Double eviction this week - Spiral and Michael and good riddance to them!","0","0","TN"
"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\""","0","0","TN"
